id,origin,destination,arrival,board,alight,route,board_stop
B1-54,B1,B2,120.34990433730566,126.79491051360199,,B,B1
B1-55,B1,B2,121.59837307990571,126.83657718026866,,B,B1
B1-56,B1,B3,123.34446139087764,126.87824384693533,,B,B1
B1-57,B1,B2,125.04019497423188,126.919910513602,,B,B1
B1-58,B1,B2,128.2445994818964,128.27143193237504,,B,B1
A3-17,A3,A3,112.81213401618628,129.39584315838442,,A,A3
A3-18,A3,A3,118.08934142686252,129.43750982505108,,A,A3
A3-19,A3,A3,122.28956295479881,129.47917649171774,,A,A3
A3-20,A3,A3,126.59034246800674,129.5208431583844,,A,A3
A3-21,A3,A3,126.71342487341018,129.56250982505105,,A,A3
B2-37,B2,B3,118.54244357572827,132.49330076806143,,B,B2
B2-38,B2,B3,118.87030044722297,132.5349674347281,,B,B2
B2-39,B2,B3,120.39835480457971,132.57663410139475,,B,B2
B2-40,B2,B3,127.81853884207479,132.6183007680614,,B,B2
A1-47,A1,A3,119.13073425737093,135.41346091078077,,A,A1
A1-48,A1,A2,120.01119182268188,135.45512757744743,,A,A1
A1-49,A1,A3,130.33207584029023,135.49679424411408,,A,A1
A1-50,A1,A2,130.37658245563864,135.53846091078074,,A,A1
B3-37,B3,B3,128.49278925582712,136.73849490319355,,B,B3
B3-38,B3,B3,130.59409560354243,136.7801615698602,,B,B3
B3-39,B3,B3,133.1347241356018,136.82182823652687,,B,B3
A1-51,A1,A3,137.9066494765869,138.67000464852006,,A,A1
A2-31,A2,A3,124.59445191701526,141.63139908666753,,A,A2
A2-32,A2,A3,125.46331149831622,141.67306575333419,,A,A2
A2-33,A2,A3,126.78162097178127,141.71473242000084,,A,A2
A2-34,A2,A3,127.56135525268056,141.7563990866675,,A,A2
A2-35,A2,A3,138.84568784177378,141.79806575333416,,A,A2
B1-59,B1,B3,134.403374193481,143.43792296568822,,B,B1
B1-60,B1,B2,139.19684173642955,143.47958963235487,,B,B1
B1-61,B1,B3,139.66113827716893,143.52125629902153,,B,B1
B1-62,B1,B3,141.6954807573195,143.5629229656882,,B,B1
A3-22,A3,A3,131.89826880488656,147.78785153354374,,A,A3
B2-41,B2,B3,138.07708021803487,148.4924049582745,,B,B2
B2-42,B2,B3,139.69805332503051,148.53407162494116,,B,B2
B2-43,B2,B3,148.869031561054,149.24760273111585,,B,B2
A3-23,A3,A3,148.90247888549683,150.15069105261554,,A,A3
A1-52,A1,A3,138.90315252850735,153.06310878414817,,A,A1
A1-53,A1,A3,139.99214176116655,153.10477545081483,,A,A1
A1-54,A1,A2,143.3945006119035,153.14644211748148,,A,A1
A1-55,A1,A2,143.68658117575873,153.18810878414814,,A,A1
A1-56,A1,A3,146.41381179152364,153.2297754508148,,A,A1
A1-57,A1,A2,146.8450134676444,153.27144211748146,,A,A1
A1-58,A1,A3,152.84103814736096,153.3131087841481,,A,A1
B3-40,B3,B3,148.19715811801183,154.86489064039247,,B,B3
B3-41,B3,B3,154.33367742871033,154.90655730705913,,B,B3
B1-63,B1,B2,143.80576159840865,159.683775154634,,B,B1
B1-64,B1,B2,155.33218596802445,159.72544182130065,,B,B1
B1-65,B1,B3,157.07264691190244,159.7671084879673,,B,B1
A2-36,A2,A3,146.4645944516861,160.1113083976057,,A,A2
A2-37,A2,A3,149.38657575161213,160.15297506427237,,A,A2
A2-38,A2,A3,151.16854512087193,160.19464173093903,,A,A2
A2-39,A2,A3,152.5587934579403,160.23630839760568,,A,A2
A2-40,A2,A3,159.18829148697915,160.27797506427234,,A,A2
B1-66,B1,B3,161.07502174267367,161.78540140646697,,B,B1
B2-44,B2,B3,152.8492796453929,165.04197729749052,,B,B2
B2-45,B2,B3,159.57577980328594,165.08364396415718,,B,B2
A3-24,A3,A3,154.9639166666193,165.64414068748926,,A,A3
A3-25,A3,A3,158.5443828512838,165.6858073541559,,A,A3
A3-26,A3,A3,164.59713609384139,165.72747402082257,,A,A3
B2-46,B2,B3,166.93352472444184,167.87370567539952,,B,B2
B2-47,B2,B3,167.74391806920818,167.91537234206618,,B,B2
B2-48,B2,B3,167.92080172224254,167.95703900873283,,B,B2
B3-42,B3,B3,165.4455681643314,169.42297284987578,,B,B3
B3-43,B3,B3,165.5863639011563,169.46463951654243,,B,B3
B3-44,B3,B3,167.6162958293733,169.5063061832091,,B,B3
B3-45,B3,B3,172.04911227781193,172.62269919477805,,B,B3
A1-59,A1,A2,157.5876901447525,173.27101098868775,,A,A1
A1-60,A1,A2,160.58688750157478,173.3126776553544,,A,A1
A1-61,A1,A3,161.76540866482523,173.35434432202106,,A,A1
A1-62,A1,A2,162.0473973482177,173.39601098868772,,A,A1
A1-63,A1,A3,164.51429456710179,173.43767765535438,,A,A1
A1-64,A1,A2,165.47895359657184,173.47934432202103,,A,A1
A1-65,A1,A2,165.58770645166553,173.5210109886877,,A,A1
A1-66,A1,A3,165.97596085537245,173.56267765535435,,A,A1
A1-67,A1,A2,170.17495497093168,173.604344322021,,A,A1
B1-67,B1,B3,162.25236371449256,175.53272562792418,,B,B1
B1-68,B1,B2,162.3438739750197,175.57439229459084,,B,B1
B1-69,B1,B2,163.91039134547498,175.6160589612575,,B,B1
B1-70,B1,B2,165.86612780969278,175.65772562792415,,B,B1
B1-71,B1,B3,167.71276178039034,175.6993922945908,,B,B1
B1-72,B1,B3,167.93578935286507,175.74105896125747,,B,B1
B1-73,B1,B2,169.88056545960194,175.78272562792412,,B,B1
B1-74,B1,B2,173.11796686689365,175.82439229459078,,B,B1
B1-75,B1,B2,174.5629254450769,175.86605896125744,,B,B1
B1-76,B1,B3,175.87757455623975,175.9077256279241,,B,B1
B1-77,B1,B2,176.35334089659503,177.54718327381227,,B,B1
B1-78,B1,B3,176.77864275052715,177.58884994047892,,B,B1
B1-79,B1,B2,177.49865772334363,177.63051660714558,,B,B1
A2-41,A2,A3,165.54276938679598,180.57406660707468,,A,A2
A2-42,A2,A3,172.46017486494853,180.61573327374134,,A,A2
A2-43,A2,A3,178.80279078387926,180.657399940408,,A,A2
B2-49,B2,B3,170.44716485766094,181.56869885682127,,B,B2
B2-50,B2,B3,172.86813525509547,181.61036552348793,,B,B2
B2-51,B2,B3,173.92097347321592,181.65203219015459,,B,B2
B2-52,B2,B3,174.00656550502083,181.69369885682124,,B,B2
A3-27,A3,A3,169.06529874457226,184.6606641166341,,A,A3
A3-28,A3,A3,174.13798598559535,184.70233078330077,,A,A3
A3-29,A3,A3,183.17682419617066,184.74399744996742,,A,A3
B3-46,B3,B3,173.82192916011184,186.25764015675074,,B,B3
B3-47,B3,B3,174.19331629003761,186.2993068234174,,B,B3
B3-48,B3,B3,179.6053287118528,186.34097349008405,,B,B3
B3-49,B3,B3,181.09811171816642,186.3826401567507,,B,B3
A1-68,A1,A3,180.8136892815031,190.3424631909288,,A,A1
A1-69,A1,A3,189.66541356309253,190.38412985759547,,A,A1
B1-80,B1,B3,179.4906343441269,190.80816860846423,,B,B1
B1-81,B1,B2,182.1891102183689,190.84983527513089,,B,B1
B1-82,B1,B3,184.20968642319724,190.89150194179754,,B,B1
B1-83,B1,B3,184.9213396538824,190.9331686084642,,B,B1
B1-84,B1,B3,186.0213749771902,190.97483527513086,,B,B1
B1-85,B1,B3,186.32982595779012,191.01650194179751,,B,B1
B1-86,B1,B3,191.16533354182926,191.65206103571856,,B,B1
A1-70,A1,A3,191.49812879764787,193.81091163027762,,A,A1
A1-71,A1,A3,191.63059258056367,193.85257829694427,,A,A1
A1-72,A1,A2,192.971689736721,193.89424496361093,,A,A1
B2-53,B2,B3,184.96449858258285,195.0261077885671,,B,B2
B2-54,B2,B3,189.69177140843857,195.06777445523375,,B,B2
B2-55,B2,B3,190.3257537844393,195.1094411219004,,B,B2
B2-56,B2,B3,192.02020916638332,195.15110778856706,,B,B2
B2-57,B2,B3,194.3516740084093,195.19277445523372,,B,B2
B2-58,B2,B3,194.44123758396728,195.23444112190037,,B,B2
A2-44,A2,A3,183.81818793498636,196.73015025147637,,A,A2
A2-45,A2,A3,185.99433939711457,196.77181691814303,,A,A2
A2-46,A2,A3,186.05233171599778,196.8134835848097,,A,A2
A2-47,A2,A3,186.24070922380787,196.85515025147635,,A,A2
A2-48,A2,A3,186.40703503147705,196.896816918143,,A,A2
A2-49,A2,A3,191.27199747827981,196.93848358480966,,A,A2
A2-50,A2,A3,195.30445562244347,196.98015025147632,,A,A2
B3-50,B3,B3,187.18455446759927,200.86069705665645,,B,B3
B3-51,B3,B3,190.1063026240215,200.9023637233231,,B,B3
B3-52,B3,B3,192.6922077663048,200.94403038998976,,B,B3
B3-53,B3,B3,201.5165234625568,201.9222642733606,,B,B3
A3-30,A3,A3,187.90697655635782,204.78950635387596,,A,A3
A3-31,A3,A3,188.4217611485969,204.82921709788098,,A,A3
A3-32,A3,A3,191.80435097758306,204.83117302054262,,A,A3
A3-33,A3,A3,196.7199759514967,204.87088376454764,,A,A3
A3-34,A3,A3,199.17647941261623,204.87283968720928,,A,A3
B1-87,B1,B3,193.5571396241121,205.62054081306735,,B,B1
B1-88,B1,B3,194.00177179603037,205.662207479734,,B,B1
B1-89,B1,B2,194.18472788667097,205.70387414640066,,B,B1
B1-90,B1,B2,196.7557132544432,205.74554081306732,,B,B1
B1-91,B1,B3,199.33278114905568,205.78720747973398,,B,B1
B1-92,B1,B3,200.55259996743115,205.82887414640064,,B,B1
B1-93,B1,B2,206.44654042685596,207.23045128423104,,B,B1
B2-59,B2,B3,197.37906217665824,209.26527111538653,,B,B2
B2-60,B2,B3,199.42224875682854,209.30693778205318,,B,B2
B2-61,B2,B3,210.25255496185105,211.67480987308454,,B,B2
A1-73,A1,A2,196.04304620544957,212.04302383207312,,A,A1
A1-74,A1,A3,198.49099604995683,212.08469049873977,,A,A1
A1-75,A1,A3,200.7447513658892,212.12635716540643,,A,A1
A1-76,A1,A2,201.36731211143334,212.1680238320731,,A,A1
A1-77,A1,A2,201.5726954122995,212.20969049873975,,A,A1
A1-78,A1,A3,201.62523794900588,212.2513571654064,,A,A1
A1-79,A1,A2,201.90868083945088,212.29302383207306,,A,A1
A1-80,A1,A3,205.19118047538564,212.33469049873972,,A,A1
A1-81,A1,A2,205.25845762733053,212.37635716540638,,A,A1
A1-82,A1,A3,210.071401930719,212.41802383207303,,A,A1
B3-54,B3,B3,201.9993658965642,213.4719393547611,,B,B3
B3-55,B3,B3,202.33504601904795,213.51360602142776,,B,B3
B3-56,B3,B3,204.0812150567519,213.55527268809442,,B,B3
B3-57,B3,B3,212.55178796628496,213.59693935476108,,B,B3
B3-58,B3,B3,213.43966658465064,213.63860602142773,,B,B3
B1-94,B1,B3,207.27424909395504,217.40994663435225,,B,B1
B1-95,B1,B3,209.75274703503808,217.4516133010189,,B,B1
B1-96,B1,B3,215.00128657025544,217.49327996768557,,B,B1
B1-97,B1,B3,216.1643963501598,217.53494663435222,,B,B1
A2-51,A2,A3,206.5734774439921,218.270975306103,,A,A2
A2-52,A2,A3,207.07647792330852,218.31264197276965,,A,A2
